title,year,name,type,character,n
De la calle,2001,Luis 'El Plojo',actor,FroilÃ¡n plaza del estudiante,80
Los tarantos,1963,'El Viti',actor,Cantaor,20
They Want Dick Dickster,2015,Zhavier' (II) 'Fox,actor,Dr. Shrinkalotsky,25
Mahogany Sunrise,2014,Gilberto 'Ghetto Bird' Bahena,actor,Jesse,21
Wakolda,2013,Marcelo 'Hos' Bearzi,actor,DueÃ±o de la hosterÃ­a,19
Killing Device,1993,Van 'Igor' Morrison,actor,Jeep Driver,51
Troop 491: the Adventures of the Muddy Lions,2013,Ellias 'Illy' Liban,actor,Big Gook,
Heron's Story,2008,David 'Jumbles' Cook,actor,Man at Bar 3,
Been Down So Long It Looks Like Up to Me,1971,Murray the 'K',actor,Himself,
I Wanna Hold Your Hand,1978,Murray the 'K',actor,Himself,48
That's the Way of the World,1975,Murray the 'K',actor,Big John Little,22
Violencia urbana,1996,NÃ©stor 'Kick Boxer',actor,MontaÃ±a,21
Nothing Like the Holidays,2008,Johnny 'Koolout' Starks,actor,Alexis' Thug,35
Ransum Games,2014,Johnny 'Koolout' Starks,actor,Henchman #3,6
Subtle Seduction,2008,Johnny 'Koolout' Starks,actor,Officer Ward,9
The Godfather of Green Bay,2005,Johnny 'Koolout' Starks,actor,Marcus,18
Using,2015,Johnny 'Koolout' Starks,actor,Randall Dawson,10
Krigen,2015,Christian 'Krolle' Pedersen,actor,Kenneth 'Slagter' Jensen,12
El secuestro de un periodista,1992,Tony 'La Chispa',actor,Doctor Giraldo,
Violencia en la sierra,1995,Tony 'La Chispa',actor,Victoriano,4
Rebecca's Window,2006,Yradier 'Lito' Tejada,actor,Sammy,4
Zeroville,2018,Mike 'Mad Dog' Adams,actor,Hippie Guitar Player,
In the Land of the Head Hunters,1914,Paddy 'Malid,actor,Kenada,5
Meridian,2016,Cameron 'Mascot' Benjamin,actor,Meridian Soldier,
Jenny's Wedding,2015,Hildy 'McGillicuddy' Johnson,actor,Mickey the Dog,26
Hot Property,2016,Neal 'Monkey' Stevens,actor,Fruit Machine,
Los tarantos,1963,'Morita',actor,Cantaor,18
Hello Au Revoir,2018,Colette 'O'Connell,actor,Letty O,
Whitefolks,2017,Darryel 'Original Whitefolks' Woodson,actor,Himself,14
Los tarantos,1963,'Pucherete',actor,Guitarist,14
Justice-For-Hire,2005,Hinton 'Rami' Wells,actor,Dread,
All Out Dysfunktion!,2016,Seth 'Reaktion' Hillard,actor,Reaktion,
Prey Before You Eat 2,2016,Anthony 'Roi Rapx' Howard,actor,Detective 1,
Step Fast,1994,Chris 'Slick' Nesevitch,actor,Continental Club Dancers,
Battle of the Year,2013,Rafael 'Spax' Szulc-Vollmann,actor,MC Spax,51
Josephine Doe,2016,Michael 'Stake' Morton III,actor,Cashier,8
Fire Down Below,1957,'Stretch' Cox Troupe,actor,Limbo Dance by,20
De zaak M.P.,1960,Frans 't Hoen,actor,Hollandse boer,29
Dorp aan de rivier,1958,Frans 't Hoen,actor,Dirk Jan,15
Moord in extase,1984,Dick 't Hooft,actor,Officier van Justitie,46
48 minuten,2013,Rogier in 't Hout,actor,Willem,
Riphagen,2016,Rogier in 't Hout,actor,Joost,
Taal is zeg maar echt mijn ding,2018,Rogier in 't Hout,actor,Buurthuismedewerker,
The Worst Nightmare,2017,Derek 'Tp Corleone' Perkins,actor,Phillip,
Battle of the Year,2013,Albert 'Trix' Thompson,actor,MC Trix,52
Transformers: Revenge of the Fallen,2009,Leon 'Vietnam'Carswell,actor,Tribesman,
Kohtaro in Space Wonderland,2014,Akira -,actor,Kohtaro,
Kayan Beauties,2012,Francis -,actor,Khuda,
Kohtaro in Space Wonderland,2014,Hiei -,actor,Male Chocolate CM,
Kohtaro in Space Wonderland,2014,Hiroki -,actor,Mechanic Engineer,
Kohtaro in Space Wonderland,2014,Karu -,actor,Mechanic Engineer,
Big Weekend,2011,Paulex -,actor,Alex,16
Three from the Block,2017,Esteban Rodriguez -Alverio,actor,Chris,
The Colour of Darkness,2016,Ketan Daraji -Gohel,actor,Chhagan,
London Betty,2009,Isaiah Entsua -Mensah,actor,Camera Man,
Candelabra,2014,Groovin .,actor,Lt. Dick Sims,5
Bad Ideas,2012,Hamid .,actor,The Diner,
Nunnunarvu,2016,Indira (II) .,actor,Charu,
Four Wise Monkeys,2016,Paddy .,actor,Shawn's Dad,17
Good Time,2017,Scrooge .,actor,Arcade,63
"When, Where, How?",2014,Tedarryl .,actor,George Sinclair,
The Genderfellator,2011,Texas .,actor,Rip,
Win Marathon,2017,Titoss .,actor,Lead Ethiopian Marathoner,99
Knight Rising,2017,G. .Knight,actor,G. Knight,
Who's the Man?,1993,Todd 1,actor,Shorty,10
Love Hollywood Style,2006,Mac 10,actor,Himself,
King of the Ville,2011,10Gzy,actor,Crazy,
Big Apple,2002,Angel 11:11,actor,Angel,2
Zoolander,2001,Angel 11:11,actor,Funky Loft Guest,86
Inland Empire,2006,Nick 13,actor,Archaeologist,89
Live Freaky Die Freaky,2006,Nick 13,actor,TV Reporter #1,1
Mary Jane's Not a Virgin Anymore,1998,Nick 13,actor,Punk party kid,
Wild Wheels,1969,13th Committee,actor,Themselves,11
Angry Video Game Nerd: The Movie,2014,Sergeant 16-bit,actor,AVGN Webcam Fan,382
Halbe Treppe,2002,17 Hippies,actor,Musikanten,
Whisky mit Wodka,2009,17 Hippies,actor,Musikalischer Gast,23
C.B. Hustlers,1976,The 18 Wheelers of Interstate 5,actor,The 18 Wheelers of Interstate 5,11
Ma 6-T va crack-er,1997,2 Bal,actor,Chanteur rap,58
Ma 6-T va crack-er,1997,2 Neg,actor,Chanteur rap,59
Ci sposeremo a Capri,1956,Quartetto 2+2,actor,Themselves,19
Cold Side of the Pillow,2017,20 Plus Dancers,actor,Dancer,
Atemlos vor Liebe,1970,Ballett 2000,actor,Themselves,
Speed Dragon,2013,2Mex,actor,Adam,
Never Been Kissed,1999,Chali 2na,actor,Ozomatli Band Member,63
Thunder in Carolina,1960,2nd Marine Division Band,actor,Themselves,
Lacoma,2009,2raumwohnung,actor,2raumwohnung,
The Guardians,2010,2Shae (II),actor,Janice Riggins,
Die Todesarena,1953,Die 3 Motorellos,actor,Themselves,
Hannah and Her Sisters,1986,The 39 Steps,actor,Rock Band,28
Honey,2003,3rd Storee,actor,Themselves,47
Asad wa arbaa qutat,2007,4 Cats,actor,Themselves,2
Negro Buenos Aires,2010,Son 4,actor,Banda de MÃºsica,71
The Beat,2003,4-Zone,actor,Himself,
Book of Love: The Definitive Reason Why Men Are Dogs,2002,40 Glocc,actor,Entourage Leader,
Miss March,2009,40 Glocc,actor,Posse Member #2,30
Tha Eastsidaz,2000,40 Glocc,actor,Himself,
Thicker Than Water,1999,40 Glocc,actor,Dog Fight Host,10
Who's Making Tha Rules,2005,40 Glocc,actor,Rapper,
Schatten der Manege,1931,5 Artonis,actor,Themselves - Artists,
Noi duri,1960,5 Asternovas,actor,Police Officers disguised as Musicians,11
The 5 Browns: Live in Concert,2010,The 5 Browns,actor,Themselves,
Plainsong,1982,Mick 5,actor,Fred Payne,
13,2010,50 Cent,actor,Jimmy,38
All Things Fall Apart,2011,50 Cent,actor,Deon,1
Caught in the Crossfire,2010,50 Cent,actor,Tino,3
Dead Man Running,2009,50 Cent,actor,Thigo,3
Escape Plan,2013,50 Cent,actor,Hush,10
Escape Plan 2: Hades,2018,50 Cent,actor,Hush,
Fire with Fire (II),2012,50 Cent,actor,Lamar,5
Freelancers,2012,50 Cent,actor,Malo,1
Get Rich or Die Tryin',2005,50 Cent,actor,Marcus,1
Gun,2010,50 Cent,actor,Rich,1
Home of the Brave,2006,50 Cent,actor,Jamal Aiken,4
Jack's Law,2006,50 Cent,actor,Black,
